JD,r_E_m,r_S_m,alpha_rad,v_E_mps,v_S_mps,psi_E_rad,psi_S_rad,kappa2_E,kappa2_S,beta_E,beta_S,delta_E,delta_S
2456574.166666667,1039677576.7418219,148498408967.0698,2.73831840923494,10425.05234661096,35011.006341532004,3.1319553293022326,1.309719175811488,8.531544969736956e-12,1.9887418461533124e-08,3.477423153390657e-05,0.00011678414652289886,0.0035276265760605355,0.729089147826239
2456574.208333333,1002146885.3573842,148530955722.6431,2.7388129849621214,10426.35312488162,35006.27728453661,3.1316133141817217,1.30946517744276,8.851053802194647e-12,1.9883060643026524e-08,3.4778570463175624e-05,0.00011676837208672079,0.003658824102854184,0.7291263445104212
2456574.25,964611435.0751938,148563529174.9533,2.7392825824267257,10427.772466252047,35001.61218627228,3.1312435089232586,1.3092087739923173,9.195470504979612e-12,1.9878701161724258e-08,3.4783304876375667e-05,0.00011675281099390526,0.0038001634210838363,0.7291608088772441
2456574.291666667,927070791.7195266,148596129688.13895,2.73972417327073,10429.323940423477,34997.01907902556,3.130842558511899,1.3089496506694516,9.567830287855213e-12,1.987433997236693e-08,3.478848003715783e-05,0.00011673749003727625,0.003952870251077997,0.729192203045548
2456574.333333333,889524471.0347255,148628757675.90454,2.7401342137291396,10431.023422762655,34992.50733443542,3.130406536383411,1.3086874387472718,9.97168294839831e-12,1.986997702315301e-08,3.479414890004556e-05,0.00011672244047725649,0.004118376343148636,0.7292201328890455
2456574.375,851971930.13015,148661413610.1634,2.7405085298743415,10432.889601641004,34988.08795008608,3.1299308169019824,1.308421703530651,1.0411206855893692e-11,1.9865612254598512e-08,3.48003738027359e-05,0.00011670769899783831,0.004298364709842984,0.7292441360250914
2456574.416666667,814412557.0286188,148694098031.64462,2.7408421707115647,10434.944624495054,34983.77391176689,3.1294099120317647,1.308151928978952,1.0891354662264008e-11,1.9861245598137315e-08,3.480722862112513e-05,0.00011669330891495239,0.004494827333992322,0.7292636666380589
2456574.458333333,776845657.8115005,148726811563.007,2.7411292180892715,10437.214926259194,34979.58065403916,3.128837259844895,1.307877497906445,1.1418041551507641e-11,1.985687697439058e-08,3.481480153266295e-05,0.00011667932171275355,0.004710139566669965,0.7292780761919693
2456574.5,739270440.6786885,148759554925.19785,2.741362537819461,10439.732301674569,34975.52665140444,3.128204947504993,1.3075976662519548,1.1998391267824572e-11,1.985250629100773e-08,3.482319859318999e-05,0.00011666579901554575,0.0049471571395633355,0.7292865886847223
2456574.541666667,701685996.0250598,148792328958.03534,2.7415334496206825,10442.535305620177,34971.63418448937,3.12750334389105,1.3073115293595183,1.2641061743069498e-11,1.9848133439949852e-08,3.4832548407939524e-05,0.00011665281514349961,0.005209344253514233,0.7292882685916964
2456574.583333333,664091271.3268266,148825134646.3455,2.74163128319717,10445.671098541421,34967.930344823995,3.1267206058832597,1.307017977445772,1.3356682105274474e-11,1.9843758294039743e-08,3.484300828722456e-05,0.00011664046046423221,0.005500945035895493,0.7292819788491959
2456574.625,626485039.2209709,148857973153.4547,2.7416427718487184,10449.197901597963,34964.448373019186,3.125842005487317,1.306715636401044,1.4158448238492404e-11,1.9839380702540894e-08,3.485477243592954e-05,0.00011662884585648644,0.005827216563127755,0.7292663249296151
2456574.666666667,588865856.5743021,148890845864.50763,2.7415512098739336,10453.188297725515,34961.22948079333,3.124848999258066,1.3064027887092178,1.5062948379451153e-11,1.9835000485439454e-08,3.4868082964667226e-05,0.00011661810878775786,0.006194750947425862,0.7292395787466184
2456574.708333333,551232011.5217086,148923754443.0039,2.741335259450818,10457.733731603037,34958.32541593345,3.123717921792581,1.3060772674334322,1.6091329629993157e-11,1.9830617425981344e-08,3.488324490005361e-05,0.00011660842187008402,0.006611929006572375,0.729199571611606
2456574.75,513581454.1858741,148956700905.30637,2.7409672255247277,10462.950778249131,34955.80225644304,3.1224181227085475,1.3057363133523499,1.7270981901129496e-11,1.9826231260837456e-08,3.490064709449472e-05,0.00011660000551595945,0.00708957293574575,0.7291435360151051
2456574.791666667,475911704.62009436,148989687720.0629,2.74041050293405,10468.990211775665,34953.746404156205,3.120909264460587,1.3053763792220563,1.863802868030046e-11,1.9821841666980797e-08,3.49207924762926e-05,0.00011659314793088026,0.0076419078841622546,0.7290678558752465
2456574.833333333,438219727.1999856,149022717943.6266,2.7396156986378433,10476.05096595081,34952.274725768264,3.1191373160113454,1.3049928482161541,2.0241115242975054e-11,1.9817448243811908e-08,3.494434461707109e-05,0.0001165882389401813,0.008288017178006797,0.7289676442479756
2456574.875,400501751.3598518,149055795411.61017,2.7385145607108146,10484.403424315464,34951.55248704046,3.1170284073171013,1.3045795860935308,2.2147358831472955e-11,1.9813050487870983e-08,3.497220541924195e-05,0.00011658582981110372,0.009054112889891788,0.7288359970043432
2456574.916666667,362752999.0078839,149088925027.01733,2.7370101199625974,10494.430936058254,34951.82494780604,3.1144788863035124,1.3041281347885918,2.445205421942555e-11,1.980864775478677e-08,3.5005653598057676e-05,0.00011658673864239119,0.009977206769496077,0.7286626791387986
2456574.958333333,324967243.15786743,149122113226.64554,2.7349599320445233,10506.705244269242,34953.47063300004,3.1113381103704847,1.3036261585029247,2.7295231094079754e-11,1.9804239197653117e-08,3.504659628318349e-05,0.00011659222805731838,0.011111305497467198,0.7284319128622527
