Flare_ID,Year,MJD
1,1890.0,11367.0
2,1913.0,19767.75
3,1922.8,23347.199999999983
4,1947.3,32295.824999999983
5,1959.2,36642.30000000002
6,1971.13,40999.73250000004
7,1972.97,41671.79250000001
8,1983.0,45335.25
9,1984.13,45747.98250000004
10,1994.89,49678.07250000004
11,1995.84,50025.05999999997
12,2005.82,53670.254999999976
13,2007.7,54356.92500000002
14,2015.87,57341.01749999996
15,2019.57,58692.442499999976
