Name,Rad,Vobs,e_Vobs,Vgas,Vdisk,Vbul,Vb,GasFrac,V_Newton,V_MOND,V_Verlinde,V_WILL,V_LCDM
CamB,0.16,1.99,1.5,1.86,3.75,0.0,3.2389581658304882,0.32977308797666544,3.2389581658304882,9.17915793611394,9.278520589916115,8.41492709814703,14.327770367310709
CamB,0.41,4.84,1.5,4.24,9.47,0.0,7.925783872904939,0.28618526044663917,7.925783872904939,18.488330630146965,18.946081903163506,17.294518436417402,23.078001080763933
CamB,0.57,6.79,1.5,5.61,11.76,0.0,10.03099695942532,0.31277895546551465,10.03099695942532,22.669045970377066,23.29239547936978,21.288914624079013,27.012138683549576
CamB,0.73,8.87,1.5,6.77,13.72,0.0,11.830135248592892,0.3274899054748017,11.830135248592892,26.248871335105186,27.014009122716104,24.709271040639376,30.27535089020394
CamB,0.9,10.9,1.5,7.77,14.8,0.0,13.034297065818317,0.3553585817888799,13.034297065818317,29.020186841027943,29.8570256286185,27.30578272647008,33.04187948631224
CamB,1.06,12.9,1.5,8.44,15.24,0.0,13.68803857387902,0.38019154323386123,13.68803857387902,30.92465354286105,31.775807099749933,29.042975126958623,35.15627154754682
CamB,1.22,14.7,1.5,8.64,15.11,0.0,13.740656825639741,0.39537799848680377,13.740656825639741,31.98046360341072,32.77833938543583,29.923624345525187,36.814619817474096
CamB,1.47,16.8,1.5,8.08,15.9,0.0,13.84526633907777,0.3405807459280907,13.84526633907777,33.493329394706386,34.22308728445272,31.196825320150058,39.07043728444404
CamB,1.79,20.1,1.5,6.91,14.91,0.0,12.60563961090432,0.30048743833862535,12.60563961090432,33.298373980642346,33.80862237344944,30.72648596446003,41.03842274939445
D512-2,0.96,22.9,2.71,4.08,14.85,0.0,11.265329555765334,0.13116939758950702,11.265329555765334,27.167963451363782,27.76657654080475,25.314131359310593,35.46571753384918
D512-2,1.92,33.5,2.71,6.24,21.2,0.0,16.237536759003813,0.14768244875171435,16.237536759003813,38.82351904542675,39.70574105271091,36.210369823059615,46.817136952628594
D512-2,2.88,37.2,4.19,7.45,20.56,0.0,16.33582872094342,0.2079841324623126,16.33582872094342,42.727655039621254,43.41135828681784,39.466271229132225,52.640785177906544
D512-2,3.83,35.9,5.98,8.09,20.08,0.0,16.3417043174817,0.24507688223199064,16.3417043174817,45.652926773246364,46.18692683304191,41.905229219968014,56.489055172594234
D564-8,0.51,8.54,1.53,3.47,6.36,0.0,5.680290485529768,0.3731795683961606,5.680290485529768,16.232772036196252,16.40041277886923,14.870481848691954,23.644173562027213
D564-8,1.02,15.1,1.41,5.33,8.66,0.0,8.11829415579406,0.43104722281649666,8.11829415579406,23.08593227531965,23.331106386114474,21.157543867214113,31.47580006072711
D564-8,1.53,19.8,1.8,6.34,9.09,0.0,9.028269490882513,0.49313915591589463,9.028269490882513,26.861078957174463,27.076722524440033,24.524325656680844,36.2237019575693
D564-8,2.04,21.9,1.82,6.86,8.75,0.0,9.238011149592753,0.5514311141733413,9.238011149592753,29.098106598005668,29.24499383077016,26.4509955150453,39.421315840078506
D564-8,2.56,24.0,1.89,7.05,8.17,0.0,9.114655780664457,0.5982706394493298,9.114655780664457,30.494653011522594,30.562278256715725,27.60538867709197,41.7394092296791
D564-8,3.07,25.0,2.05,7.04,7.65,0.0,8.878223358307675,0.628771986803319,8.878223358307675,31.413689066232408,31.409291573328264,28.33865239672012,43.42221400911294
D631-7,0.45,8.41,1.58,8.4,9.99,0.0,10.975429376566549,0.5857543642062244,10.975429376566549,22.633528784433224,23.453791588805114,21.523183925984657,25.920346013959197
D631-7,0.9,17.8,2.22,13.51,15.52,0.0,17.405611164219426,0.6024654462225946,17.405611164219426,34.17051534168784,35.58778440487719,32.737517913893505,36.20696761228329
D631-7,1.35,26.0,2.35,16.7,20.76,0.0,22.234630646808597,0.5641220861412342,22.234630646808597,42.878219617251666,44.74222410045009,41.196845208652455,43.39976885095128
D631-7,1.8,30.9,2.22,18.72,21.37,0.0,24.057781485415482,0.6054810243360631,24.057781485415482,47.693466886897234,49.62060096559653,45.623835069473245,47.836877166715276
D631-7,2.25,34.7,1.82,19.9,19.92,0.0,24.38059064091762,0.6662200637536313,24.38059064091762,50.421533984827576,52.234124246453554,47.927980360217816,50.74403872286314
D631-7,2.69,38.8,1.81,20.61,18.76,0.0,24.510016319864008,0.7070803735853509,24.510016319864008,52.58238707904824,54.28134133293524,49.7228032083367,52.979401923219214
D631-7,3.14,42.5,1.57,20.73,17.36,0.0,24.091859621042126,0.740385587827525,24.091859621042126,53.89008192356741,55.42132621538565,50.67575827688112,54.62298180673551
D631-7,3.59,45.6,1.59,20.61,16.32,0.0,23.62082344034602,0.7613176822806189,23.62082344034602,54.92360278465337,56.29830221056982,51.39711216106089,55.946583427457156
D631-7,4.04,48.8,1.83,20.38,15.37,0.0,23.09681471545373,0.7785816763060446,23.09681471545373,55.715637647762776,56.942122455945984,51.91229348399222,57.01305398561281
D631-7,4.49,51.8,1.91,19.9,14.49,0.0,22.382807017887636,0.790454820410106,22.382807017887636,56.10163943584788,57.17110533849223,52.049703791940026,57.8163364678207
D631-7,4.94,54.8,2.19,19.43,13.72,0.0,21.717368625135045,0.8004444452925416,21.717368625135045,56.413600080147795,57.34335513344044,52.14382745723804,58.48800421474626
D631-7,5.39,56.6,2.73,18.84,13.04,0.0,20.97537603953741,0.8067561522879929,20.97537603953741,56.49247105469209,57.28485516514428,52.03100785019117,59.00721273340947
