Name,Rad,Vobs,Vgas,Vdisk,Vbul,R_d,Vb,GasFrac,Omega_gas,V_Newton,V_LCDM_(AM),V_MOND_(Std),V_Verlinde,V_WILL_RG
DDO064,1.68,44.2,16.26,19.12,0.0,0.69,21.14650798595362,0.5912399357029958,0.5912399357029958,21.14641486006263,45.56695786915645,43.65477301982964,45.16954256346766,41.47999408105704
DDO064,1.88,46.3,18.16,19.54,0.0,0.69,22.818663413968835,0.6333609504593316,0.6333609504593316,22.818598853440434,47.76625764154435,46.70612382066269,48.3915379259397,44.445227575910934
DDO064,2.08,46.4,19.64,19.1,0.0,0.69,23.835574253623513,0.6789405186728636,0.6789405186728636,23.835532007561493,49.51166190393741,48.93632988699016,50.7037401749181,46.55379705731513
DDO064,2.27,46.3,20.17,18.77,0.0,0.69,24.145089562890423,0.6978372612622257,0.6978372612622257,24.14505773735645,50.73922887570822,50.23940123635454,51.99280105278584,47.70352803269011
DDO064,2.37,46.4,20.59,18.61,0.0,0.69,24.435919258337716,0.7099950654326312,0.7099950654326312,24.43589204011503,51.4065557397217,51.05731428932504,52.821194549100035,48.45248458306955
DDO064,2.98,46.9,22.17,17.21,0.0,0.69,25.290333133432625,0.7684618041921295,0.7684618041921295,25.29032177587284,54.55455613411548,54.731118282433165,56.44596788163417,51.689611737037666
DDO154,0.49,13.8,3.74,12.31,0.0,0.37,9.473945851650198,0.15584088578267777,0.15584088578267777,9.473344481429795,24.72423320939099,21.185836316340474,21.398237375957144,19.751722046646286
DDO154,0.99,21.6,7.46,14.55,0.0,0.37,12.70837715839438,0.34458586953728676,0.34458586953728676,12.708258016472328,33.07548274490031,29.220416966180554,29.895109644687384,27.34612425976388
DDO154,1.48,28.9,10.87,12.95,0.0,0.37,14.212957116659432,0.584911549360756,0.584911549360756,14.212933202013142,38.067298609009754,34.0273253510422,34.77934668885578,31.72479380445397
DDO154,1.97,34.3,13.32,11.54,0.0,0.37,15.620761825211982,0.7271165477225766,0.7271165477225766,15.620755413895901,41.71933666211774,38.23175722985397,39.025001418648415,35.56140048408441
DDO154,2.47,38.2,14.77,10.18,0.0,0.37,16.430736441194593,0.8080661823890216,0.8080661823890216,16.4307343189792,44.38022078259932,41.37753474866951,42.15022313462646,38.3689569141711
DDO154,2.96,42.0,16.2,9.16,0.0,0.37,17.446856450375236,0.8621754522445997,0.8621754522445997,17.446855641260072,46.519360728251115,44.55399754282189,45.34170185851534,41.25400718964055
DDO154,3.46,44.6,17.6,8.37,0.0,0.37,18.56848001318363,0.8984059645849507,0.8984059645849507,18.568479670743987,48.3364067350514,47.761867285586746,48.58196113722181,44.19129536884684
DDO154,3.95,46.3,17.91,7.77,0.0,0.37,18.733780985161538,0.9139875804431087,0.9139875804431087,18.733780795151283,49.47148060382597,49.47621174915319,50.23488736985244,45.65562841554529
DDO154,4.44,47.4,17.48,7.29,0.0,0.37,18.224227006926796,0.9199932133464631,0.9199932133464631,18.224226880348194,50.13920512079881,50.086647465094245,50.72358974484769,46.04340078359484
DDO154,4.94,48.2,16.93,6.89,0.0,0.37,17.617064170854345,0.923521145298724,0.923521145298724,17.617064080533943,50.62523931005202,50.42709738319109,50.94293925009395,46.188618788391615
DDO154,5.43,47.4,16.28,6.55,0.0,0.37,16.92600514002049,0.9251238220996814,0.9251238220996814,16.926005071176565,50.943427040415955,50.47340846221995,50.872243101363956,46.07407000786262
DDO154,5.92,45.5,15.64,6.26,0.0,0.37,16.25433480644471,0.9258381989028149,0.9258381989028149,16.254334751880258,51.170349783811716,50.42102685469743,50.71428706610725,45.88585883455882
DDO161,0.6,16.0,6.82,12.59,0.0,1.22,11.214564191264857,0.3698315409236725,0.3698315409236725,11.211689080998683,30.203550648362658,24.174824288863352,23.47842554913638,22.138451962141854
DDO161,0.73,16.6,8.12,14.22,0.0,1.22,12.924341375869023,0.39472553050612247,0.39472553050612247,12.922275836112323,33.23258659298152,27.42026841005751,27.180142191043192,25.432737539382384
DDO161,0.85,18.6,9.3,15.27,0.0,1.22,14.250489465278028,0.4258987194231532,0.4258987194231532,14.248978016328804,35.6924728998668,30.006944011976554,30.134397685340954,28.043245776562095
DDO161,0.98,20.0,10.41,17.04,0.0,1.22,15.923218895688144,0.427405127768253,0.427405127768253,15.92195495375531,38.245227929565125,32.983719189463244,33.395843863920895,31.001676540540693
DDO161,1.07,21.4,11.27,18.03,0.0,1.22,17.01626721698975,0.4386511155888888,0.4386511155888888,17.01517820498276,39.88780914155529,34.92558191649646,35.53659056392293,32.93712406109696
DDO161,1.54,28.9,15.22,22.44,0.0,1.22,21.9869324827271,0.47918147419704227,0.47918147419704227,21.986347683408653,47.1693694026642,43.768683358975096,45.14446729185726,41.68013248811171
DDO161,2.02,32.9,18.74,24.92,0.0,1.22,25.72335125911863,0.530742757795635,0.530742757795635,25.723028429897443,52.81182399291594,50.76963824634945,52.63647297319508,48.50964082385494
DDO161,2.49,35.2,21.52,25.85,0.0,1.22,28.235113776997604,0.5809054483154089,0.5809054483154089,28.234927762235017,57.01290207975045,56.0121141496662,58.14942282230898,53.52356540218927
DDO161,2.96,37.6,23.28,26.01,0.0,1.22,29.668475693907837,0.6157089754253618,0.6157089754253618,29.668359397118373,60.133480963438195,59.800676172051716,62.0332293656385,57.027496656908376
DDO161,3.43,40.6,24.59,25.36,0.0,1.22,30.43407465325667,0.6528251155837803,0.6528251155837803,30.434002141978397,62.51364955551024,62.63686285513138,64.8708588141067,59.56053865377458
DDO161,3.9,42.7,25.62,25.01,0.0,1.22,31.130924335779046,0.677289306968708,0.677289306968708,31.13087476480275,64.54040037112138,65.24060550217436,67.46486585117904,61.88142216612661
DDO161,4.37,45.5,26.35,24.48,0.0,1.22,31.52709469646704,0.6985433082313262,0.6985433082313262,31.52705980578808,66.16686707241645,67.36252299448304,69.54144969611782,63.724729313986195
DDO161,4.86,48.9,27.08,23.7,0.0,1.22,31.84605784080661,0.7230793532533061,0.7230793532533061,31.84603379536912,67.59754792309604,69.34616800218527,71.47158870702648,65.43474905916851
DDO161,5.34,51.5,27.81,22.69,0.0,1.22,32.106294554183606,0.7502769534158994,0.7502769534158994,32.10627822501565,68.79459989015297,71.12819626252477,73.20007509954411,66.96492841233706
DDO161,5.81,53.0,28.4,21.59,0.0,1.22,32.2432016090214,0.7758189126155749,0.7758189126155749,32.24319044493604,69.76789819632614,72.64577313517391,74.65502012941806,68.24603079251554
DDO161,6.28,55.0,28.98,20.86,0.0,1.22,32.51784433199716,0.7942427640663955,0.7942427640663955,32.51783621393989,70.6842097950969,74.26578329378222,76.23328790907505,69.64914509417991
DDO161,6.75,57.6,29.57,20.11,0.0,1.22,32.81144541162428,0.8121793147155844,0.8121793147155844,32.81143950357444,71.50571044970778,75.85114640584843,77.78290637258166,71.02968680802309
DDO161,7.22,59.7,30.3,19.38,0.0,1.22,33.2548071712948,0.8301878807706644,0.8301878807706644,33.25480289313551,72.3069173420544,77.57769100149967,79.49491861277482,72.56656388670551
DDO161,7.69,60.5,31.18,18.7,0.0,1.22,33.86794059283794,0.8475681786836246,0.8475681786836246,33.867937498077936,73.10982970455325,79.48083535592279,81.4063148361145,74.29372830155631
DDO161,8.16,61.8,32.06,18.06,0.0,1.22,34.509787017598356,0.863062959275199,0.863062959275199,34.509784757416135,73.86058148319768,81.38525516584646,83.3244092921583,76.02958157333399
DDO161,8.64,62.9,32.64,17.47,0.0,1.22,34.89942764573654,0.8747091933828751,0.8747091933828751,34.89942593899065,74.44401294443554,82.95085865649845,84.87444369220853,77.42065100759757
DDO161,9.11,63.0,33.23,16.94,0.0,1.22,35.323005251535434,0.8850043202985426,0.8850043202985426,35.32300394258384,74.9839587257072,84.50647835411829,86.42178354173338,78.81263902094763
DDO161,9.58,64.5,33.38,16.44,0.0,1.22,35.34630390861257,0.8918352835032816,0.8918352835032816,35.34630286070283,75.29099601226312,85.50511894153749,87.36747750707826,79.64223482478924
DDO161,10.05,65.6,33.38,15.98,0.0,1.22,35.240666849536204,0.897190009602992,0.897190009602992,35.24066599186211,75.49838532007632,86.29846780374689,88.09555311382539,80.27016281113958
DDO161,10.52,67.5,32.79,15.57,0.0,1.22,34.58896572608091,0.8986853898901664,0.8986853898901664,34.58896497999314,75.41922742940372,86.31948663294132,87.9925257062018,80.12253385610148
DDO161,10.99,66.8,32.06,15.18,0.0,1.22,33.80916739584103,0.8992036987041272,0.8992036987041272,33.80916673443531,75.25719424771104,86.1142125326242,87.65358027903366,79.75797365447694
DDO161,11.46,66.8,31.18,14.81,0.0,1.22,32.89164711594724,0.8986301329344278,0.8986301329344278,32.891646517433934,75.01463115666694,85.66223119232747,87.05802762763366,79.15770325679985
DDO161,11.94,66.6,30.3,14.47,0.0,1.22,31.9809388542613,0.8976413266405316,0.8976413266405316,31.980938307658917,74.76304333849158,85.17797505909834,86.43537186631436,78.53537782094038
DDO161,12.41,66.8,29.42,14.16,0.0,1.22,31.077149161401532,0.8961959814833299,0.8961959814833299,31.07714865573337,74.498658270257,84.6297003564211,85.75542756915974,77.86442219453765
DDO161,12.9,66.3,28.69,13.86,0.0,1.22,30.317748926989946,0.895503303592964,0.895503303592964,30.31774846432955,74.28627033806886,84.2709327086114,85.28257500851925,77.38806903991636
DDO161,13.37,66.1,27.81,13.59,0.0,1.22,29.423462576658103,0.8933351421901825,0.8933351421901825,29.423462141132838,74.00416876948324,83.6295531186404,84.5198343790143,76.64708426258917
DDO168,0.41,15.0,10.41,8.28,0.0,1.02,11.943504510820935,0.7596926124784696,0.7596926124784696,11.942837614915781,25.67308792347237,23.23449523968945,23.8178194016233,22.112561043142723
